Year,Start-Day,Start-Month,End-Day,End-Month,Parish Name,Total Parish Burials,Parish Plague Burials
1665,30,May,6,June,Alhallows Barking,1,0
1665,6,June,13,June,Alhallows Barking,1,0
1665,13,June,20,June,Alhallows Barking,1,0
1665,20,June,27,June,Alhallows Barking,2,0
1665,27,June,4,July,Alhallows Barking,4,1
1665,4,July,11,July,Alhallows Barking,2,0
1665,11,July,18,July,Alhallows Barking,4,0
1665,18,July,25,July,Alhallows Barking,2,0
1665,25,July,1,August,Alhallows Barking,4,0
1665,1,August,8,August,Alhallows Barking,8,3
1665,8,August,15,August,Alhallows Barking,10,7
1665,15,August,22,August,Alhallows Barking,13,11
1665,22,August,29,August,Alhallows Barking,25,21
1665,29,August,5,September,Alhallows Barking,31,23
1665,5,September,12,September,Alhallows Barking,42,32
1665,12,September,19,September,Alhallows Barking,41,32
1665,19,September,26,September,Alhallows Barking,52,41
1665,26,September,3,October,Alhallows Barking,46,34
1665,3,October,10,October,Alhallows Barking,39,26
1665,10,October,17,October,Alhallows Barking,31,26
1665,17,October,24,October,Alhallows Barking,17,16
1665,24,October,31,October,Alhallows Barking,19,18
1665,31,October,7,November,Alhallows Barking,22,19
1665,7,November,14,November,Alhallows Barking,12,10
1665,14,November,21,November,Alhallows Barking,7,6
1665,21,November,28,November,Alhallows Barking,8,4
1665,28,November,5,December,Alhallows Barking,0,0
1665,5,December,12,December,Alhallows Barking,1,0
1665,12,December,19,December,Alhallows Barking,2,0
1665,20,December,27,December,Alhallows Barking,2,0
1665,27,December,3,January,Alhallows Barking,1,0
1666,2,January,9,January,Alhallows Barking,1,0
1666,9,January,16,January,Alhallows Barking,1,0
1666,16,January,23,January,Alhallows Barking,5,0
1666,23,January,30,January,Alhallows Barking,4,2
1666,30,January,6,February,Alhallows Barking,5,1
1666,6,February,13,February,Alhallows Barking,3,3
1666,13,February,20,February,Alhallows Barking,3,1
1666,20,February,27,February,Alhallows Barking,1,0
1666,27,February,16,March,Alhallows Barking,1,0
1666,6,March,13,March,Alhallows Barking,3,0
1666,13,March,20,March,Alhallows Barking,2,0
1666,20,March,27,March,Alhallows Barking,0,0
1666,27,March,3,April,Alhallows Barking,1,0
1666,3,April,10,April,Alhallows Barking,4,2
1666,10,April,17,April,Alhallows Barking,0,0
1666,17,April,24,April,Alhallows Barking,0,0
1666,24,April,1,May,Alhallows Barking,1,0
1666,1,May,8,May,Alhallows Barking,0,0
1666,8,May,15,May,Alhallows Barking,3,0
1666,15,May,22,May,Alhallows Barking,0,0
1666,22,May,29,May,Alhallows Barking,2,0
1666,29,May,5,June,Alhallows Barking,2,0
1666,5,June,12,June,Alhallows Barking,2,0
1666,12,June,19,June,Alhallows Barking,1,0
1666,19,June,26,June,Alhallows Barking,0,0
1666,26,June,3,July,Alhallows Barking,1,0
1666,3,July,10,July,Alhallows Barking,1,0
1666,10,July,17,July,Alhallows Barking,4,0
1666,17,July,24,July,Alhallows Barking,2,0
1666,24,July,31,July,Alhallows Barking,4,0
1666,31,July,7,August,Alhallows Barking,3,0
1666,7,August,14,August,Alhallows Barking,4,0
1666,14,August,21,August,Alhallows Barking,0,0
1666,21,August,28,August,Alhallows Barking,1,0
1666,28,August,18,September,Alhallows Barking,2,0
1666,25,September,2,October,Alhallows Barking,2,0
1666,2,October,9,October,Alhallows Barking,1,0
1666,9,October,16,October,Alhallows Barking,5,0
1666,23,October,30,October,Alhallows Barking,2,0
1666,30,October,6,November,Alhallows Barking,2,0
1666,6,November,13,November,Alhallows Barking,2,0
1666,13,November,20,November,Alhallows Barking,2,0
1666,20,November,27,November,Alhallows Barking,1,0
1666,27,November,4,December,Alhallows Barking,2,0
1666,4,December,11,December,Alhallows Barking,3,0
1666,11,December,18,December,Alhallows Barking,4,0
1666,19,December,26,December,Alhallows Barking,1,0
1666,26,December,2,January,Alhallows Barking,0,0
1665,3,January,10,January,Alhallows Breadstreet,0,0
1665,10,January,17,January,Alhallows Breadstreet,1,0
1665,17,January,24,January,Alhallows Breadstreet,1,0
1665,24,January,31,January,Alhallows Breadstreet,1,0
1665,31,January,7,February,Alhallows Breadstreet,1,0
1665,7,February,14,February,Alhallows Breadstreet,0,0
1665,14,February,21,February,Alhallows Breadstreet,1,0
1665,21,February,28,February,Alhallows Breadstreet,0,0
1665,28,February,7,March,Alhallows Breadstreet,0,0
1665,7,March,14,March,Alhallows Breadstreet,0,0
1665,14,March,21,March,Alhallows Breadstreet,2,0
1665,21,March,28,March,Alhallows Breadstreet,1,0
1665,28,March,4,April,Alhallows Breadstreet,0,0
1665,4,April,11,April,Alhallows Breadstreet,0,0
1665,11,April,18,April,Alhallows Breadstreet,0,0
1665,18,April,25,April,Alhallows Breadstreet,0,0
1665,25,April,2,May,Alhallows Breadstreet,0,0
1665,2,May,9,May,Alhallows Breadstreet,0,0
1665,9,May,16,May,Alhallows Breadstreet,0,0
1665,16,May,23,May,Alhallows Breadstreet,0,0
1665,23,May,30,May,Alhallows Breadstreet,0,0
1665,30,May,6,June,Alhallows Breadstreet,2,0
1665,6,June,13,June,Alhallows Breadstreet,0,0
1665,13,June,20,June,Alhallows Breadstreet,0,0
1665,20,June,27,June,Alhallows Breadstreet,0,0
1665,27,June,4,July,Alhallows Breadstreet,1,0
1665,4,July,11,July,Alhallows Breadstreet,0,0
1665,11,July,18,July,Alhallows Breadstreet,0,0
1665,18,July,25,July,Alhallows Breadstreet,0,0
1665,25,July,1,August,Alhallows Breadstreet,0,0
1665,1,August,8,August,Alhallows Breadstreet,3,1
1665,8,August,15,August,Alhallows Breadstreet,2,1
1665,15,August,22,August,Alhallows Breadstreet,1,1
1665,22,August,29,August,Alhallows Breadstreet,2,0
1665,29,August,5,September,Alhallows Breadstreet,2,1
1665,5,September,12,September,Alhallows Breadstreet,0,0
1665,12,September,19,September,Alhallows Breadstreet,4,3
1665,19,September,26,September,Alhallows Breadstreet,3,3
1665,26,September,3,October,Alhallows Breadstreet,1,1
1665,3,October,10,October,Alhallows Breadstreet,2,2
1665,10,October,17,October,Alhallows Breadstreet,1,1
1665,17,October,24,October,Alhallows Breadstreet,0,0
1665,24,October,31,October,Alhallows Breadstreet,0,0
1665,31,October,7,November,Alhallows Breadstreet,1,1
1665,7,November,14,November,Alhallows Breadstreet,1,1
1665,14,November,21,November,Alhallows Breadstreet,0,0
1665,21,November,28,November,Alhallows Breadstreet,0,0
1665,28,November,5,December,Alhallows Breadstreet,0,0
1665,5,December,12,December,Alhallows Breadstreet,0,0
1665,12,December,19,December,Alhallows Breadstreet,0,0
1665,20,December,27,December,Alhallows Breadstreet,1,0
1665,27,December,3,January,Alhallows Breadstreet,0,0
1666,2,January,9,January,Alhallows Breadstreet,0,0
1666,9,January,16,January,Alhallows Breadstreet,0,0
1666,16,January,23,January,Alhallows Breadstreet,0,0
1666,23,January,30,January,Alhallows Breadstreet,0,0
1666,30,January,6,February,Alhallows Breadstreet,0,0
1666,6,February,13,February,Alhallows Breadstreet,0,0
1666,13,February,20,February,Alhallows Breadstreet,1,0
1666,20,February,27,February,Alhallows Breadstreet,0,0
1666,27,February,16,March,Alhallows Breadstreet,0,0
1666,6,March,13,March,Alhallows Breadstreet,0,0
1666,13,March,20,March,Alhallows Breadstreet,1,0
1666,20,March,27,March,Alhallows Breadstreet,0,0
1666,27,March,3,April,Alhallows Breadstreet,0,0
1666,3,April,10,April,Alhallows Breadstreet,1,0
1666,10,April,17,April,Alhallows Breadstreet,0,0
1666,17,April,24,April,Alhallows Breadstreet,0,0
1666,24,April,1,May,Alhallows Breadstreet,0,0
1666,1,May,8,May,Alhallows Breadstreet,0,0
1666,8,May,15,May,Alhallows Breadstreet,0,0
1666,15,May,22,May,Alhallows Breadstreet,1,0
1666,22,May,29,May,Alhallows Breadstreet,0,0
1666,29,May,5,June,Alhallows Breadstreet,0,0
1666,5,June,12,June,Alhallows Breadstreet,0,0
1666,12,June,19,June,Alhallows Breadstreet,0,0
1666,19,June,26,June,Alhallows Breadstreet,1,0
1666,26,June,3,July,Alhallows Breadstreet,0,0
1666,3,July,10,July,Alhallows Breadstreet,0,0
1666,10,July,17,July,Alhallows Breadstreet,0,0
1666,17,July,24,July,Alhallows Breadstreet,0,0
1666,24,July,31,July,Alhallows Breadstreet,1,0
1666,31,July,7,August,Alhallows Breadstreet,0,0
1666,7,August,14,August,Alhallows Breadstreet,1,0
1666,14,August,21,August,Alhallows Breadstreet,0,0
1666,21,August,28,August,Alhallows Breadstreet,0,0
1666,28,August,18,September,Alhallows Breadstreet,0,0
1666,19,December,26,December,Alhallows Breadstreet,0,0
1666,26,December,2,January,Alhallows Breadstreet,0,0
1665,3,January,10,January,Alhallows Great,1,0
1665,10,January,17,January,Alhallows Great,4,0
1665,17,January,24,January,Alhallows Great,3,0
1665,24,January,31,January,Alhallows Great,1,0
1665,31,January,7,February,Alhallows Great,0,0
1665,7,February,14,February,Alhallows Great,2,0
1665,14,February,21,February,Alhallows Great,3,0
1665,21,February,28,February,Alhallows Great,1,0
1665,28,February,7,March,Alhallows Great,1,0
1665,7,March,14,March,Alhallows Great,1,0
1665,14,March,21,March,Alhallows Great,3,0
1665,21,March,28,March,Alhallows Great,0,0
1665,28,March,4,April,Alhallows Great,0,0
1665,4,April,11,April,Alhallows Great,0,0
1665,11,April,18,April,Alhallows Great,2,0
1665,18,April,25,April,Alhallows Great,2,0
1665,25,April,2,May,Alhallows Great,1,0
1665,2,May,9,May,Alhallows Great,2,0
1665,9,May,16,May,Alhallows Great,1,0
1665,16,May,23,May,Alhallows Great,1,0
1665,23,May,30,May,Alhallows Great,2,0
1665,30,May,6,June,Alhallows Great,3,0
1665,6,June,13,June,Alhallows Great,3,0
1665,13,June,20,June,Alhallows Great,4,0
1665,20,June,27,June,Alhallows Great,3,0
1665,27,June,4,July,Alhallows Great,1,0
1665,4,July,11,July,Alhallows Great,1,0
1665,11,July,18,July,Alhallows Great,2,1
1665,18,July,25,July,Alhallows Great,6,2
1665,25,July,1,August,Alhallows Great,5,2
1665,1,August,8,August,Alhallows Great,2,0
1665,8,August,15,August,Alhallows Great,8,5
1665,15,August,22,August,Alhallows Great,6,5
1665,22,August,29,August,Alhallows Great,21,10
1665,29,August,5,September,Alhallows Great,21,9
1665,5,September,12,September,Alhallows Great,41,32
1665,12,September,19,September,Alhallows Great,59,53
1665,19,September,26,September,Alhallows Great,64,59
1665,26,September,3,October,Alhallows Great,42,41
1665,3,October,10,October,Alhallows Great,38,34
1665,10,October,17,October,Alhallows Great,32,30
1665,17,October,24,October,Alhallows Great,15,14
1665,24,October,31,October,Alhallows Great,11,9
1665,31,October,7,November,Alhallows Great,12,11
1665,7,November,14,November,Alhallows Great,7,7
1665,14,November,21,November,Alhallows Great,6,5
1665,21,November,28,November,Alhallows Great,7,5
1665,28,November,5,December,Alhallows Great,1,0
1665,5,December,12,December,Alhallows Great,0,0
1665,12,December,19,December,Alhallows Great,2,2
1665,20,December,27,December,Alhallows Great,0,0
1665,27,December,3,January,Alhallows Great,1,0
1666,2,January,9,January,Alhallows Great,2,0
1666,9,January,16,January,Alhallows Great,0,0
1666,16,January,23,January,Alhallows Great,2,1
1666,23,January,30,January,Alhallows Great,0,0
1666,30,January,6,February,Alhallows Great,1,0
1666,6,February,13,February,Alhallows Great,1,1
1666,13,February,20,February,Alhallows Great,5,1
1666,20,February,27,February,Alhallows Great,1,0
1666,27,February,16,March,Alhallows Great,0,0
1666,6,March,13,March,Alhallows Great,1,0
1666,13,March,20,March,Alhallows Great,1,0
1666,20,March,27,March,Alhallows Great,1,0
1666,27,March,3,April,Alhallows Great,0,0
1666,3,April,10,April,Alhallows Great,0,0
1666,10,April,17,April,Alhallows Great,0,0
1666,17,April,24,April,Alhallows Great,0,0
1666,24,April,1,May,Alhallows Great,0,0
1666,1,May,8,May,Alhallows Great,1,0
1666,8,May,15,May,Alhallows Great,2,1
1666,15,May,22,May,Alhallows Great,0,0
1666,22,May,29,May,Alhallows Great,1,0
1666,29,May,5,June,Alhallows Great,0,0
1666,5,June,12,June,Alhallows Great,0,0
1666,12,June,19,June,Alhallows Great,1,0
1666,19,June,26,June,Alhallows Great,1,0
1666,26,June,3,July,Alhallows Great,0,0
1666,3,July,10,July,Alhallows Great,0,0
1666,10,July,17,July,Alhallows Great,1,0
1666,17,July,24,July,Alhallows Great,2,0
1666,24,July,31,July,Alhallows Great,1,0
1666,31,July,7,August,Alhallows Great,0,0
1666,7,August,14,August,Alhallows Great,5,1
1666,14,August,21,August,Alhallows Great,3,0
1666,21,August,28,August,Alhallows Great,1,0
1666,28,August,18,September,Alhallows Great,0,0
1666,19,December,26,December,Alhallows Great,3,2
1666,26,December,2,January,Alhallows Great,3,1
1665,3,January,10,January,Alhallows Honylane,0,0
1665,10,January,17,January,Alhallows Honylane,0,0
1665,17,January,24,January,Alhallows Honylane,0,0
1665,24,January,31,January,Alhallows Honylane,0,0
1665,31,January,7,February,Alhallows Honylane,0,0
1665,7,February,14,February,Alhallows Honylane,0,0
1665,14,February,21,February,Alhallows Honylane,0,0
1665,21,February,28,February,Alhallows Honylane,0,0
1665,28,February,7,March,Alhallows Honylane,0,0
1665,7,March,14,March,Alhallows Honylane,1,0
1665,14,March,21,March,Alhallows Honylane,0,0
1665,21,March,28,March,Alhallows Honylane,2,0
1665,28,March,4,April,Alhallows Honylane,1,0
1665,4,April,11,April,Alhallows Honylane,0,0
1665,11,April,18,April,Alhallows Honylane,0,0
1665,18,April,25,April,Alhallows Honylane,0,0
1665,25,April,2,May,Alhallows Honylane,0,0
1665,2,May,9,May,Alhallows Honylane,0,0
1665,9,May,16,May,Alhallows Honylane,0,0
1665,16,May,23,May,Alhallows Honylane,0,0
1665,23,May,30,May,Alhallows Honylane,0,0
1665,30,May,6,June,Alhallows Honylane,0,0
1665,6,June,13,June,Alhallows Honylane,0,0
1665,13,June,20,June,Alhallows Honylane,0,0
1665,20,June,27,June,Alhallows Honylane,0,0
1665,27,June,4,July,Alhallows Honylane,0,0
